case_id,condition,expected_discontinuous,cheap_risk,experimental_hybrid_risk,flagged_at_frozen_threshold,prediction_error,encoder_distance,histogram_distance,ssim_distance,flow_discontinuity,decode_ms,cheap_features_ms,model_inference_ms,total_warm_ms
0-continuous,continuous,0,0.11996482949888147,0.05026981542631425,0,0.5428543090820312,0.07169312238693237,0.03882411154267795,0.03121180665865897,0.0,16.288699582219124,22.358099929988384,445.78760024160147,642.1741996891797
0-object_disappearance,object_disappearance,1,0.1558316817339016,0.038257635844898226,0,0.5350408554077148,0.09487366676330566,0.10291361403343967,0.02133353080669742,0.0,13.749700039625168,15.864499844610691,127.37830029800534,165.6531998887658
0-teleportation,teleportation,1,0.12422550222615139,0.08773650487282456,0,0.5577225685119629,0.10578763484954834,0.04850624877771597,0.042605986860345835,0.0,13.98169994354248,16.02360000833869,134.63439978659153,172.93159989640117
0-velocity_change,velocity_change,1,0.12287409292694579,0.08642456642781057,0,0.5571953058242798,0.09983253479003906,0.044496148088658774,0.02939986646270698,0.0,13.744600117206573,17.308699898421764,134.995199739933,174.60360005497932
1-continuous,continuous,0,0.12430043899542768,0.0637393109122495,0,0.5490192770957947,0.07843923568725586,0.047494825281462164,0.031103857386835965,0.0,13.552400283515453,16.84089982882142,134.45340003818274,173.00079995766282
1-teleportation,teleportation,1,0.12155402924169334,0.10578710517543742,0,0.5629129409790039,0.10635733604431152,0.043178023443079784,0.04253094655497963,0.0,15.231600031256676,16.12889999523759,145.71789978072047,185.51489990204573
