timestamp_utc	commit	hypothesis	config_hash	metric	result	decision	notes
2026-08-24T00:15:46.814612+00:00	uncommitted	Select a short future horizon using development groups only	24a0e6d55dc4e295c69a2e0377930b60d5257275ba3a88ce2574c07b344da16c	development AUPRC	"{""2"": 0.7760139853439004, ""4"": 0.726472576597256, ""8"": 0.7593401034084062}"	keep horizon=2	Held-out DAVIS val was not scored.
2026-08-24T00:17:42.712096+00:00	uncommitted	Masked-future prediction error adds held-out value over cheap signals	24a0e6d55dc4e295c69a2e0377930b60d5257275ba3a88ce2574c07b344da16c	delta AUPRC with grouped 95% bootstrap interval	"{""high"": -0.14335578872703433, ""low"": -0.22936933143669203, ""median"": -0.19211829375249811}"	cheap_signals_outperform	Frozen DAVIS val result; no post-test tuning.
